Day fraction since midnight on 10/24/2019	water pump control ()	coag pump control ()	clay pump control ()	waste pump control ()
0.63820777	0.00000000	NaN	NaN	NaN
0.63826567	0.00000000	NaN	NaN	NaN
0.63832355	0.00000000	NaN	NaN	NaN
0.63838143	0.00000000	NaN	NaN	NaN
0.63843932	0.00000000	NaN	NaN	NaN
0.63849720	0.00000000	NaN	NaN	NaN
0.63855509	0.00000000	NaN	NaN	NaN
0.63861296	0.00000000	NaN	NaN	NaN
0.63867084	0.00000000	NaN	NaN	NaN
0.63872873	0.00000000	NaN	NaN	NaN
0.63878661	0.00000000	NaN	NaN	NaN
0.63884450	0.00000000	NaN	NaN	NaN
0.63890238	0.00000000	NaN	NaN	NaN
0.63896027	0.00000000	NaN	NaN	NaN
0.63901815	0.00000000	NaN	NaN	NaN
0.63907603	0.00000000	NaN	NaN	NaN
0.63913391	0.00000000	NaN	NaN	NaN
0.63919181	0.00000000	NaN	NaN	NaN
0.63924968	0.00000000	NaN	NaN	NaN
0.63930756	0.00000000	NaN	NaN	NaN
0.63936544	0.00000000	NaN	NaN	NaN
0.63942332	0.00000000	NaN	NaN	NaN
0.63948122	0.00000000	NaN	NaN	NaN
0.63953910	0.00000000	NaN	NaN	NaN
0.63959698	0.00000000	NaN	NaN	NaN
0.63965486	0.00000000	NaN	NaN	NaN
0.63971275	0.00000000	NaN	NaN	NaN
0.63977063	0.00000000	NaN	NaN	NaN
0.63982851	0.00000000	NaN	NaN	NaN
0.63988639	0.00000000	NaN	NaN	NaN
0.63994427	0.00000000	NaN	NaN	NaN
0.64000216	0.00000000	NaN	NaN	NaN
0.64006006	0.00000000	NaN	NaN	NaN
0.64011793	0.00000000	NaN	NaN	NaN
0.64017581	0.00000000	NaN	NaN	NaN
0.64023370	0.00000000	NaN	NaN	NaN
0.64029158	0.00000000	NaN	NaN	NaN
0.64034946	0.00000000	NaN	NaN	NaN
0.64040734	0.00000000	NaN	NaN	NaN
0.64046522	0.00000000	NaN	NaN	NaN
0.64052311	0.00000000	NaN	NaN	NaN
0.64058099	0.00000000	NaN	NaN	NaN
0.64063887	0.00000000	NaN	NaN	NaN
0.64069676	0.00000000	NaN	NaN	NaN
0.64075465	0.00000000	NaN	NaN	NaN
0.64081253	0.00000000	NaN	NaN	NaN
0.64087041	0.00000000	NaN	NaN	NaN
0.64092829	0.00000000	NaN	NaN	NaN
0.64098617	0.00000000	NaN	NaN	NaN
0.64104406	0.00000000	NaN	NaN	NaN
0.64110194	0.00000000	NaN	NaN	NaN
0.64115982	0.00000000	NaN	NaN	NaN
0.64121770	0.00000000	NaN	NaN	NaN
0.64127560	0.00000000	NaN	NaN	NaN
0.64133348	0.00000000	NaN	NaN	NaN
0.64139136	0.00000000	NaN	NaN	NaN
0.64144924	0.00000000	NaN	NaN	NaN
0.64150712	0.00000000	NaN	NaN	NaN
0.64156501	0.00000000	NaN	NaN	NaN
0.64162289	0.00000000	NaN	NaN	NaN
0.64168077	0.00000000	NaN	NaN	NaN
0.64173865	0.00000000	NaN	NaN	NaN
0.64179655	0.00000000	NaN	NaN	NaN
0.64185443	0.00000000	NaN	NaN	NaN
0.64191232	0.00000000	NaN	NaN	NaN
0.64197019	0.00000000	NaN	NaN	NaN
0.64202807	0.00000000	NaN	NaN	NaN
0.64208595	0.00000000	NaN	NaN	NaN
0.64214383	0.00000000	NaN	NaN	NaN
